Mineral Name (plain),IMA Chemistry,Crystal Systems,Paragenetic Modes
Abellaite,NaPb2(CO3)2(OH),hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Abelloemringerite,Cu2Pb2Mn3+Mn4+3O11(OH)(H2O)2·H2O,orthorhombic,
Abelsonite,NiC31H32N4,triclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Abernathyite,K(UO2)(AsO4)·3H2O,tetragonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Abhurite,Sn2+21O6(OH)14Cl16,hexagonal,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
Abramovite,Pb2SnInBiS7,triclinic,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals"
Abswurmbachite,Cu2+Mn3+6O8(SiO4),tetragonal,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Abuite,CaAl2(PO4)2F2,orthorhombic,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Acanthite,Ag2S,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Acetamide,CH3CONH2,hexagonal,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Achalaite,Fe2+TiNb2O8,monoclinic,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Achavalite,FeSe,hexagonal,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5",orthorhombic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Acmonidesite,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8",orthorhombic,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Actinolite,☐Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,monoclinic,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism"
Acuminite,SrAlF4(OH)·H2O,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),hexagonal,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Adamite,Zn2(AsO4)(OH),orthorhombic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Adamsite-(Y),NaY(CO3)2·6H2O,triclinic,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Adanite,Pb2(Te4+O3)(SO4),monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Addibischoffite,Ca2Al6Al6O20,triclinic,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
Adelite,CaMg(AsO4)(OH),orthorhombic,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Admontite,MgB6O10·7H2O,monoclinic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
Adolfpateraite,K(UO2)(SO4)(OH)(H2O),monoclinic,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2,tetragonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,tetragonal,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
Adrianite,Ca12(Al4Mg3Si7)O32Cl6,cubic,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
Aegirine,NaFe3+Si2O6,monoclinic,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
