name,formula,elements,density,color,crystal_system,dna
Abellaite,NaPb2(CO3)2(OH),"{""Na"": 1.0, ""Pb"": 2.0, ""C"": 2.0, ""O"": 7.0, ""H"": 1.0}",574.42,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Abelsonite,NiC31H32N4,"{""Ni"": 1.0, ""C"": 31.0, ""H"": 32.0, ""N"": 4.0}",519.3,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,"{""Na"": 26.0, ""Ce"": 6.0, ""Si"": 6.0, ""O"": 63.0, ""P"": 6.0, ""C"": 6.0, ""S"": 1.0}",2904.94,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Abernathyite,K(UO2)(AsO4)·3H2O,"{""K"": 1.0, ""U"": 1.0, ""O"": 9.0, ""As"": 1.0, ""H"": 6.0}",502.1,#FFFFFF,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Abuite,CaAl2(PO4)2F2,"{""Ca"": 1.0, ""Al"": 2.0, ""P"": 2.0, ""O"": 8.0, ""F"": 2.0}",321.98,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Acanthite,Ag2S,"{""Ag"": 2.0, ""S"": 1.0}",247.8,#A9A9A9,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Acetamide,CH3CONH2,"{""C"": 2.0, ""H"": 5.0, ""O"": 1.0, ""N"": 1.0}",59.07,#FFFFFF,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Achalaite,Fe2+TiNb2O8,"{""Fe"": 1.0, ""Ti"": 1.0, ""Nb"": 2.0, ""O"": 8.0}",417.54,#556B2F,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Achavalite,FeSe,"{""Fe"": 1.0, ""Se"": 1.0}",134.81,#8B4513,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Acuminite,SrAlF4(OH)·H2O,"{""Sr"": 1.0, ""Al"": 1.0, ""F"": 4.0, ""O"": 2.0, ""H"": 3.0}",225.62,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),"{""Ca"": 1.0, ""Fe"": 3.0, ""Al"": 7.0, ""Si"": 5.0, ""O"": 31.0, ""B"": 3.0, ""H"": 4.0}",1069.4,#556B2F,hexagonal,"{""system"": ""hexagonal"", ""scale"": [1.0, 1.0, 1.6], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Adamsite-(Y),NaY(CO3)2·6H2O,"{""Na"": 1.0, ""Y"": 1.0, ""C"": 2.0, ""O"": 12.0, ""H"": 12.0}",340.02,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adanite,Pb2(Te4+O3)(SO4),"{""Pb"": 2.0, ""Te"": 1.0, ""O"": 7.0, ""S"": 1.0}",686.06,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Addibischoffite,Ca2Al6Al6O20,"{""Ca"": 2.0, ""Al"": 12.0, ""O"": 20.0}",723.92,#FFFFFF,triclinic,"{""system"": ""triclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adelite,CaMg(AsO4)(OH),"{""Ca"": 1.0, ""Mg"": 1.0, ""As"": 1.0, ""O"": 5.0, ""H"": 1.0}",220.32,#FFFFFF,orthorhombic,"{""system"": ""orthorhombic"", ""scale"": [0.8, 1.0, 1.2], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Admontite,MgB6O10·7H2O,"{""Mg"": 1.0, ""B"": 6.0, ""O"": 17.0, ""H"": 14.0}",375.28,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adolfpateraite,K(UO2)(SO4)(OH)(H2O),"{""K"": 1.0, ""U"": 1.0, ""O"": 8.0, ""S"": 1.0, ""H"": 3.0}",440.21,#FFFFFF,monoclinic,"{""system"": ""monoclinic"", ""scale"": [0.7, 1.0, 1.3], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Al"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",602.82,#FFFFFF,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.01}}"
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Fe"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",660.56,#556B2F,tetragonal,"{""system"": ""tetragonal"", ""scale"": [1.0, 1.0, 1.4], ""optical"": {""transparent"": 0, ""refraction"": 0.0, ""birefringence"": 0.0}}"
Adrianite,Ca12(Al4Mg3Si7)O32Cl6,"{""Ca"": 12.0, ""Al"": 4.0, ""Mg"": 3.0, ""Si"": 7.0, ""O"": 32.0, ""Cl"": 6.0}",1583.14,#FFFFFF,cubic,"{""system"": ""cubic"", ""scale"": [1.0, 1.0, 1.0], ""optical"": {""transparent"": 1, ""refraction"": 1.5, ""birefringence"": 0.0}}"
