name,formula,elements,density,color,crystal
Abellaite,NaPb2(CO3)2(OH),"{""Na"": 1.0, ""Pb"": 2.0, ""C"": 2.0, ""O"": 7.0, ""H"": 1.0}",574.413,#FFFFFF,hexagonal
Abelsonite,NiC31H32N4,"{""Ni"": 1.0, ""C"": 31.0, ""H"": 32.0, ""N"": 4.0}",519.318,#FFFFFF,triclinic
Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,"{""Na"": 26.0, ""Ce"": 6.0, ""Si"": 6.0, ""O"": 63.0, ""P"": 6.0, ""C"": 6.0, ""S"": 1.0}",2904.877,#FFFFFF,hexagonal
Abernathyite,K(UO2)(AsO4)·3H2O,"{""K"": 1.0, ""U"": 1.0, ""O"": 9.0, ""As"": 1.0, ""H"": 6.0}",502.089,#FFFFFF,tetragonal
Abuite,CaAl2(PO4)2F2,"{""Ca"": 1.0, ""Al"": 2.0, ""P"": 2.0, ""O"": 8.0, ""F"": 2.0}",321.978,#FFFFFF,orthorhombic
Acanthite,Ag2S,"{""Ag"": 2.0, ""S"": 1.0}",247.8,#A9A9A9,monoclinic
Acetamide,CH3CONH2,"{""C"": 2.0, ""H"": 5.0, ""O"": 1.0, ""N"": 1.0}",59.068,#FFFFFF,hexagonal
Achalaite,Fe2+TiNb2O8,"{""Fe"": 1.0, ""Ti"": 1.0, ""Nb"": 2.0, ""O"": 8.0}",417.516,#556B2F,monoclinic
Achavalite,FeSe,"{""Fe"": 1.0, ""Se"": 1.0}",134.816,#8B4513,hexagonal
Acuminite,SrAlF4(OH)·H2O,"{""Sr"": 1.0, ""Al"": 1.0, ""F"": 4.0, ""O"": 2.0, ""H"": 3.0}",225.616,#FFFFFF,monoclinic
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),"{""Ca"": 1.0, ""Fe"": 3.0, ""Al"": 7.0, ""Si"": 5.0, ""O"": 31.0, ""B"": 3.0, ""H"": 4.0}",1069.343,#556B2F,hexagonal
Adamsite-(Y),NaY(CO3)2·6H2O,"{""Na"": 1.0, ""Y"": 1.0, ""C"": 2.0, ""O"": 12.0, ""H"": 12.0}",340.002,#FFFFFF,triclinic
Adanite,Pb2(Te4+O3)(SO4),"{""Pb"": 2.0, ""Te"": 1.0, ""O"": 7.0, ""S"": 1.0}",686.053,#FFFFFF,monoclinic
Addibischoffite,Ca2Al6Al6O20,"{""Ca"": 2.0, ""Al"": 12.0, ""O"": 20.0}",723.92,#FFFFFF,triclinic
Adelite,CaMg(AsO4)(OH),"{""Ca"": 1.0, ""Mg"": 1.0, ""As"": 1.0, ""O"": 5.0, ""H"": 1.0}",220.308,#FFFFFF,orthorhombic
Admontite,MgB6O10·7H2O,"{""Mg"": 1.0, ""B"": 6.0, ""O"": 17.0, ""H"": 14.0}",375.26,#FFFFFF,monoclinic
Adolfpateraite,K(UO2)(SO4)(OH)(H2O),"{""K"": 1.0, ""U"": 1.0, ""O"": 8.0, ""S"": 1.0, ""H"": 3.0}",440.204,#FFFFFF,monoclinic
Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Al"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",602.798,#FFFFFF,tetragonal
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Fe"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",660.524,#556B2F,tetragonal
Adrianite,Ca12(Al4Mg3Si7)O32Cl6,"{""Ca"": 12.0, ""Al"": 4.0, ""Mg"": 3.0, ""Si"": 7.0, ""O"": 32.0, ""Cl"": 6.0}",1583.042,#FFFFFF,cubic
Aegirine,NaFe3+Si2O6,"{""Na"": 1.0, ""Fe"": 1.0, ""Si"": 2.0, ""O"": 6.0}",230.999,#556B2F,monoclinic
Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36],"{""Na"": 4.0, ""Fe"": 10.0, ""Ti"": 2.0, ""O"": 40.0, ""Si"": 12.0}",1723.124,#556B2F,triclinic
Aeschynite-(Ce),Ce(TiNb)O6,"{""Ce"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",376.887,#FFFFFF,orthorhombic
Aeschynite-(Nd),Nd(TiNb)O6,"{""Nd"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",381.007,#FFFFFF,orthorhombic
Aeschynite-(Y),Y(TiNb)O6,"{""Y"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",325.673,#FFFFFF,orthorhombic
Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,"{""Al"": 3.0, ""O"": 16.0, ""H"": 13.0, ""P"": 2.0}",411.982,#FFFFFF,triclinic
Afwillite,Ca3[SiO4][SiO2(OH)2]·2H2O,"{""Ca"": 3.0, ""Si"": 2.0, ""O"": 10.0, ""H"": 6.0}",342.442,#FFFFFF,triclinic
Agaite,Pb3Cu2+Te6+O5(OH)2(CO3),"{""Pb"": 3.0, ""Cu"": 1.0, ""Te"": 1.0, ""O"": 10.0, ""H"": 2.0, ""C"": 1.0}",986.763,#FFFFFF,orthorhombic
Agardite-(Ce),CeCu2+6(AsO4)3(OH)6·3H2O,"{""Ce"": 1.0, ""Cu"": 6.0, ""As"": 3.0, ""O"": 21.0, ""H"": 12.0}",1094.237,#FFFFFF,hexagonal
