name,formula,elements,density,color,crystal,pm_ids,gacha_weight
Abellaite,NaPb2(CO3)2(OH),"{""Na"": 1.0, ""Pb"": 2.0, ""C"": 2.0, ""O"": 7.0, ""H"": 1.0}",574.413,#FFFFFF,hexagonal,{47},1998.0
Abelsonite,NiC31H32N4,"{""Ni"": 1.0, ""C"": 31.0, ""H"": 32.0, ""N"": 4.0}",519.318,#FFFFFF,triclinic,"{47,50}",2271.0
Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,"{""Na"": 26.0, ""Ce"": 6.0, ""Si"": 6.0, ""O"": 63.0, ""P"": 6.0, ""C"": 6.0, ""S"": 1.0}",2904.877,#FFFFFF,hexagonal,{35},726.0
Abernathyite,K(UO2)(AsO4)·3H2O,"{""K"": 1.0, ""U"": 1.0, ""O"": 9.0, ""As"": 1.0, ""H"": 6.0}",502.089,#FFFFFF,tetragonal,{47},1998.0
Abuite,CaAl2(PO4)2F2,"{""Ca"": 1.0, ""Al"": 2.0, ""P"": 2.0, ""O"": 8.0, ""F"": 2.0}",321.978,#FFFFFF,orthorhombic,{23},398.0
Acanthite,Ag2S,"{""Ag"": 2.0, ""S"": 1.0}",247.8,#A9A9A9,monoclinic,"{33,49}",874.0
Acetamide,CH3CONH2,"{""C"": 2.0, ""H"": 5.0, ""O"": 1.0, ""N"": 1.0}",59.068,#FFFFFF,hexagonal,{54},234.0
Achalaite,Fe2+TiNb2O8,"{""Fe"": 1.0, ""Ti"": 1.0, ""Nb"": 2.0, ""O"": 8.0}",417.516,#556B2F,monoclinic,{34},564.0
Achavalite,FeSe,"{""Fe"": 1.0, ""Se"": 1.0}",134.816,#8B4513,hexagonal,{33},797.0
Acuminite,SrAlF4(OH)·H2O,"{""Sr"": 1.0, ""Al"": 1.0, ""F"": 4.0, ""O"": 2.0, ""H"": 3.0}",225.616,#FFFFFF,monoclinic,{25},210.0
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),"{""Ca"": 1.0, ""Fe"": 3.0, ""Al"": 7.0, ""Si"": 5.0, ""O"": 31.0, ""B"": 3.0, ""H"": 4.0}",1069.343,#556B2F,hexagonal,{34},564.0
Adamsite-(Y),NaY(CO3)2·6H2O,"{""Na"": 1.0, ""Y"": 1.0, ""C"": 2.0, ""O"": 12.0, ""H"": 12.0}",340.002,#FFFFFF,triclinic,"{23,35}",1124.0
Adanite,Pb2(Te4+O3)(SO4),"{""Pb"": 2.0, ""Te"": 1.0, ""O"": 7.0, ""S"": 1.0}",686.053,#FFFFFF,monoclinic,{47},1998.0
Addibischoffite,Ca2Al6Al6O20,"{""Ca"": 2.0, ""Al"": 12.0, ""O"": 20.0}",723.92,#FFFFFF,triclinic,{3},48.0
Adelite,CaMg(AsO4)(OH),"{""Ca"": 1.0, ""Mg"": 1.0, ""As"": 1.0, ""O"": 5.0, ""H"": 1.0}",220.308,#FFFFFF,orthorhombic,"{32,47}",2410.0
Admontite,MgB6O10·7H2O,"{""Mg"": 1.0, ""B"": 6.0, ""O"": 17.0, ""H"": 14.0}",375.26,#FFFFFF,monoclinic,{25},210.0
Adolfpateraite,K(UO2)(SO4)(OH)(H2O),"{""K"": 1.0, ""U"": 1.0, ""O"": 8.0, ""S"": 1.0, ""H"": 3.0}",440.204,#FFFFFF,monoclinic,"{47,55}",2262.0
Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Al"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",602.798,#FFFFFF,tetragonal,"{45,55}",688.0
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,"{""N"": 4.0, ""H"": 18.0, ""Na"": 1.0, ""Fe"": 2.0, ""S"": 4.0, ""O"": 18.0, ""Cl"": 1.0}",660.524,#556B2F,tetragonal,{45},424.0
Adrianite,Ca12(Al4Mg3Si7)O32Cl6,"{""Ca"": 12.0, ""Al"": 4.0, ""Mg"": 3.0, ""Si"": 7.0, ""O"": 32.0, ""Cl"": 6.0}",1583.042,#FFFFFF,cubic,{6},205.0
Aegirine,NaFe3+Si2O6,"{""Na"": 1.0, ""Fe"": 1.0, ""Si"": 2.0, ""O"": 6.0}",230.999,#556B2F,monoclinic,"{7,19,23,26,35,36,39,40,51}",2448.0
Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36],"{""Na"": 4.0, ""Fe"": 10.0, ""Ti"": 2.0, ""O"": 40.0, ""Si"": 12.0}",1723.124,#556B2F,triclinic,"{6,9,19,20,35,36}",1537.0
Aeschynite-(Ce),Ce(TiNb)O6,"{""Ce"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",376.887,#FFFFFF,orthorhombic,"{19,34,35,36}",1724.0
Aeschynite-(Nd),Nd(TiNb)O6,"{""Nd"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",381.007,#FFFFFF,orthorhombic,{34},564.0
Aeschynite-(Y),Y(TiNb)O6,"{""Y"": 1.0, ""Ti"": 1.0, ""Nb"": 1.0, ""O"": 6.0}",325.673,#FFFFFF,orthorhombic,"{34,36}",855.0
Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O,"{""Al"": 3.0, ""O"": 16.0, ""H"": 13.0, ""P"": 2.0}",411.982,#FFFFFF,triclinic,"{21,34,47}",2641.0
Afwillite,Ca3[SiO4][SiO2(OH)2]·2H2O,"{""Ca"": 3.0, ""Si"": 2.0, ""O"": 10.0, ""H"": 6.0}",342.442,#FFFFFF,triclinic,"{31,51}",484.0
Agaite,Pb3Cu2+Te6+O5(OH)2(CO3),"{""Pb"": 3.0, ""Cu"": 1.0, ""Te"": 1.0, ""O"": 10.0, ""H"": 2.0, ""C"": 1.0}",986.763,#FFFFFF,orthorhombic,{47},1998.0
Agardite-(Ce),CeCu2+6(AsO4)3(OH)6·3H2O,"{""Ce"": 1.0, ""Cu"": 6.0, ""As"": 3.0, ""O"": 21.0, ""H"": 12.0}",1094.237,#FFFFFF,hexagonal,{47},1998.0
Agardite-(La),LaCu2+6(AsO4)3(OH)6·3H2O,"{""La"": 1.0, ""Cu"": 6.0, ""As"": 3.0, ""O"": 21.0, ""H"": 12.0}",1093.027,#FFFFFF,hexagonal,{47},1998.0
Agardite-(Nd),NdCu2+6(AsO4)3(OH)6·3H2O,"{""Nd"": 1.0, ""Cu"": 6.0, ""As"": 3.0, ""O"": 21.0, ""H"": 12.0}",1098.357,#FFFFFF,hexagonal,{47},1998.0
Agardite-(Y),YCu2+6(AsO4)3(OH)6·3H2O,"{""Y"": 1.0, ""Cu"": 6.0, ""As"": 3.0, ""O"": 21.0, ""H"": 12.0}",1043.023,#FFFFFF,hexagonal,{47},1998.0
Agrellite,NaCa2Si4O10F,"{""Na"": 1.0, ""Ca"": 2.0, ""Si"": 4.0, ""O"": 10.0, ""F"": 1.0}",394.474,#FFFFFF,triclinic,{35},726.0
Agricolaite,K4(UO2)(CO3)3,"{""K"": 4.0, ""U"": 1.0, ""O"": 11.0, ""C"": 3.0}",606.444,#FFFFFF,monoclinic,{47},1998.0
Agrinierite,K2Ca[(UO2)3O3(OH)2]2·5H2O,"{""K"": 2.0, ""Ca"": 1.0, ""U"": 6.0, ""O"": 27.0, ""H"": 14.0}",1992.539,#FFFFFF,orthorhombic,{47},1998.0
Aguilarite,Ag4SeS,"{""Ag"": 4.0, ""Se"": 1.0, ""S"": 1.0}",542.511,#A9A9A9,monoclinic,{33},797.0
Aheylite,Fe2+Al6(PO4)4(OH)8·4H2O,"{""Fe"": 1.0, ""Al"": 6.0, ""P"": 4.0, ""O"": 28.0, ""H"": 16.0}",805.733,#556B2F,triclinic,{47},1998.0
Ahlfeldite,Ni(SeO3)·2H2O,"{""Ni"": 1.0, ""Se"": 1.0, ""O"": 5.0, ""H"": 4.0}",221.691,#FFFFFF,monoclinic,{47},1998.0
Ahrensite,SiFe2O4,"{""Si"": 1.0, ""Fe"": 2.0, ""O"": 4.0}",203.771,#8B4513,cubic,{6},205.0
Aikinite,CuPbBiS3,"{""Cu"": 1.0, ""Pb"": 1.0, ""Bi"": 1.0, ""S"": 3.0}",575.906,#708090,orthorhombic,{33},797.0
Aiolosite,Na2(Na2Bi)(SO4)3Cl,"{""Na"": 4.0, ""Bi"": 1.0, ""S"": 3.0, ""O"": 12.0, ""Cl"": 1.0}",624.558,#FFFFFF,hexagonal,{45},424.0
Airdite,Sr(V4+O)2(PO4)2·4H2O,"{""Sr"": 1.0, ""V"": 2.0, ""O"": 14.0, ""P"": 2.0, ""H"": 8.0}",483.502,#FFFFFF,monoclinic,{47},1998.0
Ajoite,K3Cu2+20Al3Si29O76(OH)16·8H2O,"{""K"": 3.0, ""Cu"": 20.0, ""Al"": 3.0, ""Si"": 29.0, ""O"": 100.0, ""H"": 32.0}",3915.781,#FFFFFF,triclinic,{47},1998.0
Akaogiite,TiO2,"{""Ti"": 1.0, ""O"": 2.0}",79.865,#FFFFFF,monoclinic,{30},16.0
Akdalaite,Al5O7(OH),"{""Al"": 5.0, ""O"": 8.0, ""H"": 1.0}",263.91,#FFFFFF,orthorhombic,{23},398.0
Akermanite,Ca2MgSi2O7,"{""Ca"": 2.0, ""Mg"": 1.0, ""Si"": 2.0, ""O"": 7.0}",272.624,#FFFFFF,tetragonal,"{3,6,8,31,35,36,40,51}",2166.0
Akimotoite,MgSiO3,"{""Mg"": 1.0, ""Si"": 1.0, ""O"": 3.0}",100.387,#FFFFFF,hexagonal,{6},205.0
Aklimaite,Ca4[Si2O5(OH)2](OH)4·5H2O,"{""Ca"": 4.0, ""Si"": 2.0, ""O"": 16.0, ""H"": 16.0}",488.594,#FFFFFF,monoclinic,{10},107.0
Akopovaite,Al4Li2(OH)12(CO3)(H2O)3,"{""Al"": 4.0, ""Li"": 2.0, ""O"": 18.0, ""H"": 18.0, ""C"": 1.0}",439.945,#FFFFFF,monoclinic,{48},71.0
Aksaite,MgB6O7(OH)6·2H2O,"{""Mg"": 1.0, ""B"": 6.0, ""O"": 15.0, ""H"": 10.0}",339.23,#FFFFFF,orthorhombic,{25},210.0
Aktashite,Cu6Hg3As4S12,"{""Cu"": 6.0, ""Hg"": 3.0, ""As"": 4.0, ""S"": 12.0}",1667.454,#FFD700,hexagonal,{33},797.0
Alacranite,As8S9,"{""As"": 8.0, ""S"": 9.0}",887.916,#FFD700,monoclinic,"{11,12,33,50,54}",1469.0
Alamosite,PbSiO3,"{""Pb"": 1.0, ""Si"": 1.0, ""O"": 3.0}",283.282,#FFFFFF,monoclinic,{47},1998.0
Alarsite,Al(AsO4),"{""Al"": 1.0, ""As"": 1.0, ""O"": 4.0}",165.9,#808080,hexagonal,{45},424.0
Albertiniite,Fe2+(SO3)·3H2O,"{""Fe"": 1.0, ""S"": 1.0, ""O"": 6.0, ""H"": 6.0}",189.947,#556B2F,monoclinic,{47},1998.0
Albite,Na(AlSi3O8),"{""Na"": 1.0, ""Al"": 1.0, ""Si"": 3.0, ""O"": 8.0}",262.219,#FFFFFF,monoclinic,"{4,5,7,9,10,16,17,19,22,23,24,26,34,35,40,43,45,51}",3914.0
